ID,red,green,blue,Y,cblue,cred,class
120,231.0526,141.4398,125.8252,158.9455,108.1109,168.4699,1
121,234.4975,124.2451,118.2623,150.4044,109.2574,176.8676,1
122,187.0263,135.5602,107.891,142.9398,108.5677,152.8308,1
123,209.8451,165.3347,154.4958,168.369,116.7859,148.2994,1
124,228.1607,155.699,128.3716,165.6709,105.2126,161.8112,1
125,214.2949,164.0769,134.0192,166.8654,107.4872,152.2051,1
126,233.7122,185.3151,162.072,185.3102,110.6253,151.1191,1
127,218.1983,199.2581,188.5095,190.9516,120.4962,137.0731,1
128,231.052,207.0995,197.0287,199.0484,120.0358,139.2195,1
129,241.8108,217.3071,204.7101,207.656,118.8894,139.7174,1
130,216.6094,177.7946,152.4242,176.1886,111.0269,146.7508,1
131,208.0207,164.3817,147.8817,166.7663,114.432,148.1716,1
132,201.4872,170.2564,166.9103,169.9744,121.8333,142.1026,1
133,218.4693,170.6801,142.0977,172.0287,108.59,151.1341,1
134,202.4305,145.5883,124.1128,153.532,110.3233,154.4229,1
135,215.4895,175.6954,155.3866,175.166,113.187,146.8403,1
136,230.7243,189.1967,171.5276,187.4283,114.0827,147.5221,1
137,205.5019,163.2353,129.0953,163.704,106.9706,148.8676,1
138,240.334,195.8057,170.5771,193.1084,110.4111,149.3418,1
139,210.9944,156.8255,116.0769,160.6248,102.1182,154.6961,1
140,222.5764,184.4897,170.9714,182.8897,116.7537,145.9626,1
141,183.9839,132.6207,104.1356,140.308,108.1333,152.7747,1
142,230.9221,191.5974,173.539,188.8896,114.2403,146.6234,1
143,187.5853,154.318,144.1229,156.0584,118.5745,143.447,1
144,223.4845,169.881,139.2321,172.6833,106.6345,153.7536,1
145,235.5397,202.5833,177.2183,195.9643,111.996,144.3135,1
146,235.9,171.6386,153.0659,178.0886,110.4659,157.5364,1
147,241.1826,215.4435,201.5261,206.2652,118.0174,140.2391,1
148,237.6205,208.4018,187.817,200.3661,114.8705,142.2411,1
149,234.2245,204.1565,197.6429,198.432,120.6361,141.6939,1
150,241.3417,174.9,161.5917,182.0167,112.4333,158.1083,1
151,196.913,133.5963,120.1304,145.6646,112.5652,156.7702,1
152,216.2656,164.4844,144.3438,168.5469,111.4688,152.1719,1
153,238.0829,216.0652,205.3166,206.1474,119.9545,138.3702,1
154,207.9664,179.752,167.3412,176.4656,118.6277,141.3355,1
155,248.2397,229.5633,216.0346,216.664,119.2738,137.0168,1
156,227.4316,178.56,156.7621,179.6989,111.0695,151.1432,1
157,186.4159,156.0291,147.9612,157.0496,119.8804,142.0032,1
158,220.748,158.8352,139.6521,166.4882,110.3941,156.5824,1
159,250.452,205.1389,195.1035,202.8005,117.1641,148.553,1
160,227.3375,168.3028,137.8528,172.7244,105.8386,156.1568,1
161,236.0179,191.5108,161.2725,188.9182,108.188,149.6322,1
162,212.7837,170.395,145.5125,170.7618,110.6881,148.2476,1
163,206.2319,154.4395,110.1792,157.6131,101.0427,153.9147,1
164,226.7895,186.4545,185.1738,186.3558,121.5049,145.8317,1
165,221.2952,185.6952,167.5556,182.8349,114.8349,145.0413,1
166,161.2889,104.5167,103.5222,120.2167,119.2278,153.0111,1
167,241.8908,194.2899,190.0588,194.6891,118.9454,148.8866,1
168,220.8333,193.6597,187.2361,188.6875,121.2917,140.4514,1
169,228.0053,164.2381,131.933,170.2522,104.1958,158.2293,1
170,237.2714,186.0263,172.6398,187.7023,114.8059,151.551,1
171,234.0269,198.5573,178.8423,193.7401,114.0753,145.043,1
172,239.4286,189.3294,171.8016,189.7421,112.9286,151.246,1
173,224.0373,198.6382,186.7741,191.932,118.9583,139.943,1
174,242.6378,190.766,170.0353,191.0513,111.2564,152.2151,1
175,199.9821,144.5536,110.6964,151.0179,105.0179,154.7857,1
176,217.9064,173.2276,175.3813,176.4552,122.3626,147.4305,1
177,218.6222,187.5389,182.6028,184.5861,121.1889,142.0472,1
178,201.2207,141.8345,123.2736,151.2828,111.0989,155.3425,1
179,232.6605,175.5066,151.6658,179.0584,109.2706,154.7493,1
180,229.7222,178.5486,163.4167,181.0035,113.7743,151.6319,1
181,206.1667,144.5111,130.9444,154.6333,112.8,156.11,1
182,220.2306,171.3083,163.325,174.925,117.2472,150.175,1
183,223.7053,200.6026,200.6349,194.2185,124.4457,138.1891,1
184,227.4271,195.9459,189.5271,191.7105,120.4459,142.2684,1
185,226.7248,171.4469,160.0593,176.3248,114.7848,153.1269,1
186,217.5684,203.7379,194.7084,193.6084,122.0347,134.8632,1
187,230.5258,210.5893,197.7361,200.6825,119.2877,137.8175,1
188,215.3788,190.1023,173.9583,184.197,117.5758,140.0644,1
189,229.3562,204.4812,193.1062,196.8812,119.225,139.9,1
190,213.6375,178.4812,159.675,176.475,114.5312,144.9062,1
191,175.5576,140.3576,121.8343,143.7879,114.8687,145.0909,1
192,199.3232,165.5893,153.0661,165.675,117.6518,143.7732,1
193,208.7917,179.0583,173.9917,176.8667,121.3917,141.4333,1
194,218.0067,167.7433,136.5533,169.9367,107.0933,152.2133,1
195,240.1471,195.4813,191.7513,195.0348,119.6952,147.8476,1
196,233.8632,217.3018,194.7737,204.693,115.8982,136.807,1
197,187.197,132.1883,119.1753,142.3615,114.118,153.105,1
198,237.2231,203.4692,192.8846,198.3923,118.4231,143.5692,1
199,228.8352,183.0915,172.46,183.9474,116.6751,148.8856,1
200,251.1217,208.487,191.2087,204.3507,114.1855,147.9623,1
201,216.1553,168.6595,154.0024,171.4958,114.7503,149.9032,1
202,241.7584,195.8361,171.542,193.5882,110.6197,149.9265,1
203,226.1973,175.4454,155.7854,177.7916,111.8573,151.7196,1
204,243.6059,195.4765,159.9353,192.7412,105.0588,151.6706,1
205,250.7048,203.2024,188.4571,201.2583,114.5821,150.0952,1
206,199.7215,155.5,141.7117,159.5721,115.6261,148.3649,1
207,205.3035,141.8365,102.1859,150.22,101.1976,158.7529,1
208,225.6128,163.9772,131.9607,169.5217,104.6377,157.3271,1
209,208.8424,171.7364,151.1431,171.0335,113.3714,145.8859,1
210,223.6137,157.5794,117.4223,164.3535,100.455,159.7349,1
211,202.1661,147.1515,108.463,152.703,102.8824,154.8436,1
212,218.1653,161.506,132.371,166.4052,106.7319,154.9738,1
213,223.3955,150.747,118.0167,160.9318,103.0318,162.247,1
214,238.3141,220.2954,227.4043,210.5081,128.4793,135.418,1
215,217.4927,179.1538,180.7106,179.9139,123.0934,144.8168,1
216,231.0489,204.7924,192.7848,197.4152,118.9826,140.2609,1
217,237.3121,191.179,174.4186,190.3935,113.8225,149.5251,1
218,248.0661,218.2388,207.5436,210.0347,118.862,141.966,1
219,197.6171,154.657,137.412,158.1579,114.0599,148.1216,1
220,253.342,226.1634,214.7625,216.1373,118.9978,140.8606,1
221,227.7751,165.9649,155.9537,173.4641,114.4833,155.9394,1
222,221.8852,196.165,190.2684,190.5051,121.5143,139.8617,1
223,244.5644,205.5682,181.2225,200.1231,111.5256,146.8134,1
224,205.1913,155.6435,148.6928,161.7275,117.7362,150.2638,1
225,241.373,174.5454,157.4819,181.3912,110.7336,158.5771,1
226,217.3265,149.3706,133.2662,160.1574,110.9824,159.0088,1
227,228.9749,189.7455,180.6057,188.0896,118.2509,145.8889,1
228,213.8821,176.2286,146.7143,174.1214,109.675,146.4714,1
229,238.0781,178.1611,148.0128,181.4817,105.7145,156.4226,1
230,228.5391,164.6311,139.5068,171.3453,107.5478,157.9056,1
231,180.5017,145.4565,132.7852,148.6765,117.4904,144.22,1
232,222.8524,171.8333,140.691,173.5799,106.8594,152.566,1
233,202.5276,163.9273,142.413,164.5936,112.7249,146.5602,1
234,183.0348,148.9465,139.0455,151.7193,118.5642,143.7594,1
235,236.4615,208.7396,184.4319,199.9523,113.2117,141.8868,1
236,225.7695,185.1611,158.2055,182.7891,110.1772,147.7877,1
237,223.0547,177.7578,129.5625,175.6172,100.1562,151.3594,1
238,220.1719,156.9832,138.1374,165.1818,110.5366,157.1117,1
239,206.1056,132.3889,116.6028,147.0972,110.3417,161.4889,1
240,204.3859,125.9271,114.9482,143.2612,111.6612,163.3106,1
241,194.1614,164.8862,145.5291,163.1958,115.291,142.2513,1
242,188.1098,152.2249,125.9947,153.4603,111,145.8849,1
243,230.3571,195.9714,178.8048,191.4667,115.5238,144.5905,1
244,234.2095,209.6197,195.5685,200.9556,118.332,139.7394,1
245,251.8142,193.1607,167.8959,194.4638,108.3715,155.5428,1
246,229.3144,149.3496,122.1138,162.103,104.0759,165.1599,1
247,194.9766,157.2515,140.9474,159.1462,115.2515,145.7105,1
248,203.4219,150.927,130.8529,157.1247,111.4787,152.4138,1
249,211.0977,165.1262,137.9169,166.9285,109.5577,150.2623,1
250,176.9769,140.9596,115.9269,143.8154,111.7827,145.5673,1
251,198.3578,132.6595,128.6422,146.4009,116.6573,157.2629,1
252,224.4208,153.8507,117.2624,162.7059,101.6063,161.6742,1
253,233.925,172.25,159.9167,178.575,113.4167,156.0208,1
254,231.7909,167.1273,149.7636,174.4545,110.8273,157.7091,1
255,236.1646,208.1211,196.3851,200.7764,118.7888,141.2516,1
256,211.2695,178.4727,166.1289,176.5117,117.8828,143.3281,1
257,206.2222,155.5833,133.2361,160.4167,110.6806,151.9444,1
258,229.456,183.4725,165.4341,183.6538,113.1154,149.3626,1
259,209.5934,155.8956,120.4588,160.1923,104.2473,153.989,1
260,129.7991,100.221,105.1451,110.1473,125.8549,140.3438,1
261,216.688,169.6282,140.7735,170.9444,108.5513,150.7137,1
262,153.3492,117.1138,108.64,125.0723,119.0646,144.6369,1
263,231.4024,209.9543,195.6936,200.3994,118.6372,138.3674,1
264,204.1978,168.2332,149.1477,167.8315,114.2308,145.0818,1
265,220.0606,172.2727,144.4091,173.4924,108.8712,150.9697,1
266,228.1171,207.7864,188.3075,197.7116,116.4074,138.4954,1
267,179.9454,137.0618,110.8787,142.1512,110.3644,148.7414,1
268,229.8878,157.0102,127.2143,166.6327,104.0714,162.1122,1
269,231.2129,198.4013,183.4124,193.3215,116.6098,143.5499,1
270,218.8472,166.3333,139.8083,169.7125,108.6264,152.9569,1
271,233.5665,188.0961,172.8867,187.7956,114.7192,149,1
272,227.5439,161.7368,145.4456,170.2035,111.2351,158.0632,1
273,193.7417,141.8312,101.3734,147.1969,102.6957,153.5473,1
274,211.7836,168.6344,158.3172,170.9109,117.1898,147.7148,1
275,198.625,190.2971,181.8676,180.7412,123.075,132.3132,1
276,186.1494,133.8994,126.711,143.7273,117.2792,151.5,1
277,219.949,145.2316,125.988,158.0168,108.6541,162.1119,1
278,253.8892,217.8593,193.9631,210.0645,112.0676,145.5747,1
279,250.3762,207.0846,182.2488,202.4963,110.6826,148.7684,1
280,215.8291,179.5556,172.7991,178.8932,119.735,144.4658,1
281,211.9034,168.3025,151.2227,170.1218,114.1303,148.2017,1
282,193.6457,157.6599,140.6377,158.9615,115.3785,145.1437,1
283,179.1774,131.8167,115.9824,139.7979,114.0106,149.9965,1
284,220.961,190.5974,173.4026,185.8571,116.1558,142.6364,1
285,210.873,148.6716,129.4085,157.762,110.4062,156.7632,1
286,211.8287,138.6574,111.5116,151.2315,105.1412,162.0833,1
287,218.3117,195.6765,197.734,190.0608,125.5684,137.8834,1
288,170.3478,144.3589,141.7689,146.4011,123.0722,139.6422,1
289,239.8045,209.2019,193.5321,202.0256,116.6635,142.5513,1
290,208.6667,165.1198,141.4688,166.6875,111.1875,148.849,1
291,204.284,146.5309,109.1235,153.0123,103,155.963,1
292,219.2997,185.4695,172.2891,182.6897,117.3422,143.817,1
293,201.5821,147.8179,128.6769,154.8769,111.7359,152.959,1
294,224.246,183.869,177.3057,183.6437,119.1563,146.1816,1
295,184.8068,118.0398,103.2614,133.0511,111.6477,158.4773,1
296,253.3735,225.7588,210.5,215.4735,117.2441,141.1971,1
297,253.8561,208.6895,195.6684,205.507,115.7667,148.7228,1
298,225.6743,162.1381,143.3448,169.7276,110.4962,157.34,1
299,186.9087,145.0119,135.4742,150.3889,117.998,147.0774,1
300,206.4336,199.4301,211.8427,190.3427,132.451,130.3427,1
301,204.5348,169.9087,157.6391,169.5783,117.5478,144.0652,1
302,213.2918,188.5865,171.3358,182.6041,116.7933,140.0191,1
303,208.7209,170.9233,150.0529,170.4563,113.2196,146.0833,1
304,248.8866,179.4354,167.39,186.7891,112.3991,159.3787,1
305,237.7732,190.7482,175.6426,190.4242,114.4127,149.7785,1
306,196.8587,166.5676,157.7519,165.9828,119.5004,141.8958,1
307,229.7566,179.7302,163.5781,181.6369,113.5396,151.1744,1
308,244.3689,207.7244,188.3667,201.94,114.0356,145.5867,1
309,243.2677,192.5567,164.9113,191.6716,108.5599,152.2841,1
310,243.881,192.119,169.869,192.131,110.5357,152.369,1
311,235.6904,194.1229,182.5897,192.2629,117.0835,146.9189,1
312,235.1572,203.7268,193.8333,198.1091,118.9661,142.6271,1
313,213.1634,150.6136,120.4668,158.4584,105.3684,157.5028,1
314,221.8644,151.134,133.5462,162.2351,109.8864,160.3793,1
315,186.7531,115.5011,106.4418,132.5934,113.3597,159.9531,1
316,227.4492,171.6845,134.4599,174.0963,103.3048,155.1123,1
317,215.2432,174.7075,161.0927,175.1284,116.057,146.7457,1
318,142.1643,105.8486,101.6857,115.8329,120.7243,144.4414,1
319,215.1552,181.5409,164.0733,178.8351,115.4634,144.055,1
320,201.2229,161.5603,137.167,162.5549,111.4088,147.1966,1
321,230.9794,204.0542,194.4387,197.2387,119.791,140.5316,1
322,189.8543,117.913,102.7582,134.2863,110.7292,160.6125,1
323,180.6462,139.6008,125.4496,145.0269,115.8252,146.9622,1
324,217.6885,190.3578,179.9312,185.5179,119.3724,140.828,1
325,232.6833,198.9667,188.2875,194.4771,118.35,143.6167,1
326,168.4375,112.7479,107.5979,126.6625,117.7417,152.95,1
327,236.5977,184.2692,159.7123,185.3005,109.6184,152.776,1
328,191.4116,126.1525,103.6045,138.9076,108.7298,158.2414,1
329,197.9043,136.105,110.7136,146.2464,107.8914,156.9857,1
330,165.2902,124.8136,108.7573,132.0256,115.1308,146.8776,1
331,230.5504,172.0363,171.3105,178.7137,118.9435,153.8629,1
332,206.6629,171.5759,155.5022,170.7842,115.7374,144.6027,1
333,237.805,175.1318,151.5362,180.2003,108.4809,157.224,1
334,232.9254,208.0341,201.669,200.4365,121.5675,139.4286,1
335,222.6082,180.3534,171.0312,180.8173,118.0072,147.2668,1
336,244.5714,195.7143,177.0238,194.8333,112.4762,150.8095,1
337,226.6741,170.7004,153.2814,175.2874,112.0931,153.8057,1
338,197.4191,178.1265,169.475,173.0912,121.3397,137.1824,1
339,232.7484,210.5081,192.7516,200.7581,117.0677,138.9742,1
340,236.4815,184.7066,161.8291,185.6895,110.4131,152.3818,1
341,169.5717,121.2869,103.0437,130.7713,112.7089,150.7401,1
342,221.6397,198.0943,187.6061,191.1953,120.0135,139.1549,1
343,228.2376,206.6123,190.4409,197.4137,117.7861,138.5603,1
344,202.8477,145.3545,117.7318,152.9023,107.4341,155.1932,1
345,247.984,197.6835,177.2476,196.7165,111.5416,151.5931,1
346,246.6341,186.7186,161.4669,189.289,108.1469,156.0955,1
347,199.0435,161.2898,143.9194,162.4954,114.7998,145.8261,1
348,240.623,203.8749,192.2688,199.4039,117.6003,144.9509,1
349,160.8759,117.523,100.1968,126.3733,113.8557,148.3704,1
350,234.606,184.2742,169.1313,185.7051,113.924,151.2604,1
351,210.0824,170.0133,152.9186,170.5492,114.7784,146.6676,1
352,197.3339,150.6888,138.028,156.1652,115.5979,149.3645,1
353,237.2062,175.2918,170.2168,181.936,116.5342,155.6878,1
354,246.1222,205.5371,202.8884,202.7771,120.7499,145.9347,1
355,205.4975,150.5382,148.9217,159.1794,119.0915,152.6317,1
356,227.0362,190.1451,186.1324,188.4273,120.7076,144.5646,1
357,198.4066,163.6263,156.7199,164.7964,119.8098,143.7355,1
358,222.0543,166.2624,153.3353,171.8434,114.0036,153.4086,1
359,247.2478,197.6099,181.4047,196.8801,113.3976,151.08,1
360,205.6296,136.0095,115.3342,148.6625,108.6082,160.0518,1
361,207.7683,154.7262,135.6575,160.6354,111.6746,152.8264,1
362,221.8296,172.557,127.8687,172.48,101.3349,152.8371,1
363,233.5075,198.4393,174.4094,193.1304,112.094,145.4485,1
364,190.8039,151.7537,121.7271,153.4275,109.3082,147.2815,1
365,234.4231,201.0609,179.8027,195.207,113.6472,144.4709,1
366,232.4654,140.3352,123.928,158.5706,107.2078,169.5069,1
367,247.5297,190.1409,179.2529,192.9543,114.7611,153.9913,1
368,223.3998,173.1096,157.6575,176.1013,113.7029,151.3761,1
369,228.747,195.0601,189.0727,191.6167,120.4172,143.3015,1
370,209.7587,157.3248,144.2163,163.2773,114.4981,151.932,1
371,194.9451,133.6703,122.0256,145.4469,113.7399,155.6923,1
372,196.1436,154.1913,132.1566,157.0364,112.1718,148.0191,1
373,207.884,152.3206,125.7985,158.4838,108.2663,154.2644,1
374,224.2052,165.5569,137.4401,170.4995,107.1671,155.5736,1
375,205.7487,170.7266,152.0398,169.7771,114.6549,144.8018,1
376,211.6454,159.6062,134.3936,163.9783,109.4322,152.7559,1
377,210.4338,150.6505,123.6611,158.0873,107.5036,156.0485,1
378,163.8286,115.1,97.1048,125.5952,112.7857,150.8762,1
379,173.3088,122.6789,100.442,132.1667,110.826,151.9877,1
380,155.8993,117.8791,105.4469,125.8059,117.2821,145.5842,1
381,187.6098,151.8111,144.0917,154.7983,119.2602,144.5203,1
382,208.1519,164.1134,127.2177,164.6892,105.0498,150.0186,1
383,203.6216,158.9216,117.6941,159.9235,103,150.6667,1
384,169.3766,132.1831,119.5416,137.7896,117.3078,145.0338,1
385,161.865,102.1986,69.7351,115.9338,104.6842,156.5722,1
386,216.3357,141.0369,109.2232,153.3488,102.9935,163.228,1
387,180.6168,103.9239,80.4429,122.6332,106.216,163.3845,1
388,202.9302,132.1673,103.8676,144.9231,104.9034,160.8596,1
389,123.5363,94.1278,67.6667,101.8622,111.8897,142.8722,1
390,150.0599,112.7632,90.0917,120.2187,112.3748,145.8748,1
391,126.4081,90.7831,60.2426,100.1728,109.4412,145.761,1
392,212.8764,150.8986,137.7393,160.1764,112.9243,155.9929,1
393,149.2578,105.475,99.8633,117.2797,119.0031,147.4523,1
394,193.6601,146.721,126.1704,152.0534,111.8388,150.1452,1
395,218.2285,150.4138,123.6136,159.9933,106.1106,159.6238,1
396,177.465,129.808,81.736,134.9977,99.885,152.4487,1
397,183.8072,136.7052,114.1032,143.3223,110.9397,150.518,1
398,193.6711,151.3962,116.3378,153.4353,106.3082,148.9865,1
399,196.71,132.7209,107.7646,143.968,107.9266,157.965,1
400,206.4637,157.4271,116.5897,159.8087,102.8816,152.3195,1
401,121.1932,73.8553,35.9811,87.8582,104.4096,151.7526,1
402,198.5771,146.6883,131.6052,153.8408,113.6391,152.0002,1
403,213.2175,143.4308,130.2894,155.788,111.721,159.6145,1
404,216.6387,152.7311,128.1757,161.1717,108.0144,157.9454,1
405,187.002,127.202,84.7776,136.4306,100.6112,157.3173,1
406,130.8666,88.2902,59.3205,99.8808,109.1735,148.5784,1
407,217.7082,171.2722,127.1705,170.7087,101.942,151.5053,1
408,204.6914,146.493,104.288,152.6413,101.0993,156.5491,1
409,214.0762,159.4561,128.0645,163.9067,106.0738,154.1668,1
410,219.2225,160.7822,124.7549,165.5643,103.6322,156.1641,1
411,200.8867,156.1614,123.6769,158.4089,107.3178,149.9212,1
412,191.2406,135.5579,111.1912,144.3401,109.2286,154.1281,1
413,204.5511,151.6319,118.8261,156.6076,105.6522,153.5995,1
414,222.4791,164.6849,133.8569,169.2392,105.8298,155.4208,1
415,186.2159,131.3191,92.7788,139.123,102.8872,154.6336,1
416,224.459,173.8606,132.7134,174.2792,102.4246,153.1619,1
417,219.9379,165.6018,132.8512,169.0009,105.4072,154.1877,1
418,202.18,160.0214,111.4764,159.5128,100.5581,150.1398,1
